地名,センター,燃やせるごみ・スプレー缶,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
中央区 南17条西4丁目～15丁目,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,水,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,金
中央区 南17条西16・17丁目（南17条通の南側のみ）,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,水,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,金
中央区 南18条～30条の西○丁目,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,水,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,金
中央区 南3条西11丁目・12丁目（南3条通の南側のみ）,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 南4条西9丁目・10丁目（南4条通の南側のみ）,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 南4条西11丁目～27丁目,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 南5条～8条の西9丁目～27丁目,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 南7条西8丁目1024番地,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 南9条～16条の西13丁目～23丁目,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
中央区 南17条西16丁目・17丁目（南17条通の北側のみ）,札幌センター1,月 木,20180921 20181019 20181116 20190510 20190607 20190705 20190802 20190830 20190927,20180907 20181005 20181102 20181130 20181228 20190201 20190301 20190329 20190426 20190524 20190621 20190719 20190816 20190913,火,20180914 20180928 20181012 20181026 20181109 20181123 20181207 20181221 20190111 20190125 20190208 20190222 20190308 20190322 20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920,水
