地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
北区 新琴似11条・12条の1丁目～13丁目,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,水,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,火
北区 屯田○条○丁目,札幌センター1,火 金,20170925 20171023 20171120 20180514 20180611 20180709 20180806 20180903,20170911 20171009 20171106 20171204 20180108 20180205 20180305 20180402 20180430 20180528 20180625 20180723 20180820 20180917,水,20170904 20170918 20171002 20171016 20171030 20171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 20180409 20180423 20180507 20180521 20180604 20180618 20180702 20180716 20180730 20180813 20180827 20180910 20180924,木
北区 屯田町○番地,札幌センター1,火 金,20170925 20171023 20171120 20180514 20180611 20180709 20180806 20180903,20170911 20171009 20171106 20171204 20180108 20180205 20180305 20180402 20180430 20180528 20180625 20180723 20180820 20180917,水,20170904 20170918 20171002 20171016 20171030 20171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 20180409 20180423 20180507 20180521 20180604 20180618 20180702 20180716 20180730 20180813 20180827 20180910 20180924,木
北区 麻生町○丁目,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
北区 北32条西13丁目,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
北区 北33条西9丁目～12丁目,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
北区 北34条～40条の西○丁目,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
北区 太平○条○丁目,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
北区 篠路町太平○番地,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
北区 百合が原○丁目,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
